Student ID,Event Name,Department,Event Type,Overall_Rating,Comments
676,AI Workshop,Mechanical,Technical Talk,6,"Average event, could improve the pace."
120,Cybersecurity Workshop,Electronics,Technical Talk,1,"Excellent session, learned a lot!"
771,Coding Competition,Electronics,Technical Talk,5,Not satisfied with the arrangements.
441,Cultural Fest,Mechanical,Seminar,5,"Excellent session, learned a lot!"
468,Robotics Demo,Mechanical,Competition,6,"Excellent session, learned a lot!"
187,Startup Pitch Event,Management,Technical Talk,6,"Too many participants, difficult to manage."
526,Hackathon,Civil,Competition,5,"Average event, could improve the pace."
570,Cybersecurity Workshop,Civil,Technical Talk,7,Could be more interactive.
549,Hackathon,IT,Competition,1,Amazing experience!
925,Startup Pitch Event,Computer Science,Seminar,6,Loved the speaker and content.
426,Cybersecurity Workshop,Management,Workshop,2,"Average event, could improve the pace."
881,Cloud Computing Seminar,Management,Workshop,5,Amazing experience!
448,Coding Competition,Electronics,Competition,9,The event started late.
633,Coding Competition,Civil,Seminar,1,Loved the speaker and content.
237,Coding Competition,Computer Science,Technical Talk,1,Well organized and detailed.
639,Data Science Seminar,Computer Science,Seminar,1,The event started late.
562,Cloud Computing Seminar,Electronics,Technical Talk,4,"Average event, could improve the pace."
358,Robotics Demo,Electronics,Technical Talk,7,Loved the speaker and content.
696,Startup Pitch Event,IT,Competition,7,Could be more interactive.
887,Cybersecurity Workshop,Management,Technical Talk,8,"Too many participants, difficult to manage."
335,Hackathon,Civil,Technical Talk,4,Well organized and detailed.
461,Cloud Computing Seminar,Management,Seminar,9,Not satisfied with the arrangements.
245,Cybersecurity Workshop,Computer Science,Seminar,8,Well organized and detailed.
461,Startup Pitch Event,Computer Science,Workshop,7,"Average event, could improve the pace."
404,Startup Pitch Event,Management,Workshop,10,Amazing experience!
783,Data Science Seminar,Computer Science,Workshop,7,"Too many participants, difficult to manage."
136,Cloud Computing Seminar,Management,Workshop,3,Loved the speaker and content.
362,Data Science Seminar,Electronics,Technical Talk,1,"Too many participants, difficult to manage."
503,Startup Pitch Event,IT,Seminar,1,Loved the speaker and content.
331,Cybersecurity Workshop,Management,Competition,2,"Excellent session, learned a lot!"
177,Startup Pitch Event,Computer Science,Competition,2,"Too many participants, difficult to manage."
330,Cybersecurity Workshop,Electronics,Competition,3,Well organized and detailed.
